"","202506","202505","202504","202503","202502","202501","202412","202411","202410","202409","202408","202407","202406","202405","202404","202403","202402","202401"
"PROFITABLE SOS","347","531","363","449","629","703","784","793","859","1,043","1,202","1,101","861","986","493","416","1,200","1,962"
"UNPROFITABLE SOS","1,356","2,228","1,858","2,006","2,947","2,996","3,095","3,622","3,480","3,955","4,785","4,013","3,823","4,456","2,268","2,134","3,918","3,138"
"TOTAL REVENUE","$68,905","$105,362","$73,000","$87,569","$113,198","$119,349","$143,656","$153,621","$150,956","$166,148","$195,393","$160,338","$139,697","$166,038","$86,375","$82,424","$187,851","$194,267"
"PPT COST","$117,495","$185,519","$150,465","$160,242","$220,594","$221,199","$237,072","$290,521","$271,778","$288,651","$349,080","$276,977","$272,928","$318,889","$173,036","$182,306","$280,749","$42,238"
"PPT PROFIT","-$48,590","-$80,158","-$77,465","-$72,673","-$107,395","-$101,850","-$93,416","-$136,900","-$120,822","-$122,503","-$153,687","-$116,639","-$133,230","-$152,850","-$86,661","-$99,882","-$92,898","$152,029"
"LABOR REVENUE","$68,048","$102,594","$70,153","$82,918","$109,534","$117,989","$141,860","$152,016","$148,868","$164,883","$193,959","$159,123","$138,540","$164,055","$84,770","$79,770","$183,282","$190,586"
"PAYROLL COST","$71,037","$111,923","$91,584","$99,685","$134,516","$138,280","$143,601","$163,760","$160,630","$180,062","$212,999","$171,769","$170,312","$197,837","$101,784","$112,805","$161,748","$28,818"
"BENEFIT COST","$21,644","$34,222","$29,271","$28,622","$41,273","$39,724","$43,438","$68,494","$55,564","$49,170","$69,416","$43,611","$43,552","$56,385","$33,892","$31,503","$53,367","$11,317"
"PARTS REVENUE","$857","$2,768","$2,847","$4,652","$3,665","$1,359","$1,796","$1,605","$2,088","$1,264","$1,434","$1,215","$1,158","$1,983","$1,605","$2,654","$4,569","$3,681"
"PARTS COST","$531","$1,329","$1,058","$1,435","$1,658","$143","$677","$1,039","$939","$703","$867","$895","$804","$1,451","$1,410","$1,941","$3,293","$1,736"
"PARTS UNMARKED COST","$0","$14","$81","$0","$527","$7","$7","$42","$68","$163","$43","$131","$75","$92","$51","$34","$219","$334"
"TRUCK COST","$24,263","$37,906","$28,473","$30,259","$42,937","$42,925","$49,226","$57,043","$54,491","$58,640","$65,734","$60,565","$58,180","$63,119","$35,925","$35,987","$61,833","$0"
"UPS SHIPMENT COST","$20","$140","$80","$242","$209","$127","$131","$186","$153","$76","$63","$138","$80","$96","$26","$69","$508","$367"
"ED","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ED RATE","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"RECALLS","1","16","16","8","12","19","17","20","26","29","25","22","20","43","20","26","54","78"
"RECALL RATE","0.06%","0.58%","0.72%","0.33%","0.34%","0.51%","0.44%","0.45%","0.60%","0.58%","0.42%","0.43%","0.43%","0.79%","0.72%","1.02%","1.06%","1.53%"
"N ATP PER CALL","1.01","1.01","1.01","1.01","1.00","1.00","0.96","0.86","0.89","0.87","0.91","0.92","0.91","0.88","0.92","0.94","1.00","1.01"
"REPAIR TIME PER CALL","32.24","32.79","32.89","34.55","33.68","32.95","32.65","31.39","32.17","33.20","32.88","32.66","32.10","31.92","31.53","30.08","31.96","32.57"
"TRAVEL TIME PER CALL","30.57","29.28","27.49","30.64","29.92","30.01","29.88","30.19","29.58","29.00","29.04","28.46","28.20","27.74","27.76","26.10","25.33","25.55"
